Land,Klikk,Visninger,Klikkfrekvens,Plassering
Norge,1369,71447,1.92%,7.82
Sverige,41,455,9.01%,7.93
Spania,7,366,1.91%,6.7
Danmark,4,550,0.73%,31.14
Thailand,3,127,2.36%,4.95
Storbritannia,2,314,0.64%,22.65
Tyskland,2,200,1%,6.66
Polen,2,99,2.02%,6.88
Australia,2,29,6.9%,5.9
USA,1,5130,0.02%,7.2
Frankrike,1,135,0.74%,6.86
Italia,1,89,1.12%,7.01
Japan,1,42,2.38%,6.48
Vietnam,1,39,2.56%,7.46
Sveits,1,37,2.7%,6.49
Filippinene,1,33,3.03%,6.3
Russland,1,30,3.33%,8.73
Hellas,1,20,5%,6.45
Island,1,18,5.56%,6.33
Albania,1,14,7.14%,5.71
Bulgaria,1,12,8.33%,4.5
Kypros,1,8,12.5%,8
Kroatia,1,6,16.67%,5.33
Brasil,0,119,0%,7.11
Nederland,0,116,0%,7.06
India,0,103,0%,8.75
Canada,0,94,0%,7.41
Tyrkia,0,84,0%,7.69
Sør-Korea,0,68,0%,7.1
Ukraina,0,49,0%,8.39
Singapore,0,43,0%,6.95
Indonesia,0,42,0%,7.5
Mexico,0,41,0%,6.2
Finland,0,37,0%,7.05
Saudi-Arabia,0,35,0%,8.06
Belgia,0,34,0%,6.32
Østerrike,0,29,0%,6.59
Egypt,0,26,0%,8.96
De forente arabiske emirater,0,25,0%,6.24
Marokko,0,24,0%,6.96
Pakistan,0,23,0%,5.3
Portugal,0,23,0%,5.39
Israel,0,23,0%,6.87
Argentina,0,22,0%,6.5
Taiwan,0,22,0%,7.05
Sør-Afrika,0,21,0%,6.33
Colombia,0,21,0%,6.48
Bangladesh,0,19,0%,8.42
Serbia,0,18,0%,5.83
Irak,0,17,0%,6.82
Litauen,0,17,0%,7.18
Tsjekkia,0,15,0%,5.93
Irland,0,15,0%,6
Peru,0,14,0%,6.57
Kenya,0,14,0%,7.43
Aserbajdsjan,0,13,0%,6.15
Algerie,0,13,0%,6.15
Hongkong,0,13,0%,6.92
Svalbard og Jan Mayen,0,12,0%,7.08
Romania,0,11,0%,5.82
Jordan,0,11,0%,6.82
Malaysia,0,11,0%,7.27
Kasakhstan,0,11,0%,9.36
Kina,0,10,0%,5.2
Chile,0,10,0%,5.5
Estland,0,10,0%,6.1
Ungarn,0,10,0%,6.9
Bosnia og Herzegovina,0,10,0%,10.8
Makedonia,0,9,0%,7.78
Ecuador,0,8,0%,6.62
Færøyene,0,7,0%,3.71
Tunis,0,7,0%,6.43
Etiopia,0,7,0%,9.71
Moldova,0,6,0%,6
Kapp Verde,0,6,0%,6.17
Nepal,0,6,0%,6.5
Venezuela,0,6,0%,7.83
Latvia,0,5,0%,6
Panama,0,5,0%,7
Bolivia,0,5,0%,7.2
Usbekistan,0,5,0%,8
Iran,0,5,0%,8.6
Jamaica,0,5,0%,9
Sri Lanka,0,5,0%,9.6
Paraguay,0,5,0%,13.8
Nigeria,0,4,0%,5.25
Kuwait,0,4,0%,5.75
Åland,0,4,0%,6
Costa Rica,0,4,0%,6
Palestina,0,4,0%,6.25
Madagaskar,0,4,0%,6.75
Nicaragua,0,4,0%,7
Uruguay,0,4,0%,7.25
Uganda,0,3,0%,3
Trinidad og Tobago,0,3,0%,4
Bahamas,0,3,0%,4.33
New Zealand,0,3,0%,4.67
Luxembourg,0,3,0%,5.33
Slovakia,0,3,0%,5.67
Andorra,0,3,0%,7
Barbados,0,3,0%,7.33
Slovenia,0,3,0%,8
Syria,0,3,0%,9.67
Den dominikanske republikk,0,3,0%,18.67
Ghana,0,2,0%,1
Isle of Man,0,2,0%,3
Qatar,0,2,0%,3.5
Montenegro,0,2,0%,4
Antigua og Barbuda,0,2,0%,5
Sør-Sudan,0,2,0%,5
Tanzania,0,2,0%,5
Maldivene,0,2,0%,6
Puerto Rico,0,2,0%,7
Elfenbenskysten,0,2,0%,7.5
Angola,0,2,0%,8.5
Gabon,0,2,0%,8.5
Kirgisistan,0,2,0%,9.5
Belarus,0,2,0%,10
Kambodsja,0,2,0%,10
Sint Maarten,0,1,0%,1
Zimbabwe,0,1,0%,1
Burkina Faso,0,1,0%,4
Guyana,0,1,0%,4
Zambia,0,1,0%,4
Ukjent Region,0,1,0%,4
Libanon,0,1,0%,5
Mauritania,0,1,0%,5
Armenia,0,1,0%,6
Benin,0,1,0%,7
Bahrain,0,1,0%,7
Mosambik,0,1,0%,7
Jemen,0,1,0%,7
Libya,0,1,0%,8
Macau,0,1,0%,8
Mongolia,0,1,0%,8
Honduras,0,1,0%,9
Malta,0,1,0%,9
Myanmar (Burma),0,1,0%,9
Somalia,0,1,0%,9
Georgia,0,1,0%,10
Aruba,0,1,0%,11
Mauritius,0,1,0%,11
