Land,Klikk,Visninger,Klikkfrekvens,Plassering
Norge,1346,69368,1.94%,7.88
Sverige,41,447,9.17%,7.83
Spania,7,356,1.97%,6.72
Danmark,4,536,0.75%,31.26
Storbritannia,2,287,0.7%,22.32
Tyskland,2,197,1.02%,6.66
Polen,2,94,2.13%,7.19
Australia,2,28,7.14%,6
USA,1,4953,0.02%,7.3
Frankrike,1,125,0.8%,7.22
Thailand,1,120,0.83%,5.14
Italia,1,87,1.15%,7.11
Japan,1,41,2.44%,6.32
Vietnam,1,37,2.7%,7.27
Sveits,1,36,2.78%,6.36
Filippinene,1,33,3.03%,6.3
Russland,1,30,3.33%,8.73
Hellas,1,19,5.26%,6.53
Island,1,16,6.25%,5.75
Albania,1,15,6.67%,5.47
Bulgaria,1,10,10%,4.6
Kypros,1,8,12.5%,8
Kroatia,1,6,16.67%,5.33
Nederland,0,113,0%,7.16
Brasil,0,112,0%,7.29
India,0,103,0%,8.75
Canada,0,85,0%,7.55
Tyrkia,0,83,0%,7.7
Sør-Korea,0,68,0%,7.1
Ukraina,0,48,0%,8.38
Singapore,0,42,0%,6.95
Indonesia,0,42,0%,7.5
Mexico,0,38,0%,6.29
Finland,0,38,0%,7.11
Belgia,0,35,0%,6.43
Saudi-Arabia,0,33,0%,8.12
Østerrike,0,29,0%,6.72
Portugal,0,25,0%,5.36
De forente arabiske emirater,0,25,0%,6.24
Egypt,0,25,0%,9.28
Israel,0,23,0%,6.87
Marokko,0,23,0%,7
Pakistan,0,22,0%,5.41
Taiwan,0,22,0%,7.05
Sør-Afrika,0,21,0%,6.33
Bangladesh,0,19,0%,8.42
Serbia,0,18,0%,5.83
Argentina,0,17,0%,6.06
Irak,0,17,0%,6.82
Colombia,0,17,0%,7.53
Irland,0,16,0%,5.75
Litauen,0,16,0%,7.44
Tsjekkia,0,15,0%,5.93
Kenya,0,14,0%,7.43
Aserbajdsjan,0,13,0%,6.15
Algerie,0,13,0%,6.15
Hongkong,0,12,0%,6.42
Svalbard og Jan Mayen,0,12,0%,7.08
Romania,0,11,0%,5.82
Peru,0,11,0%,7.18
Malaysia,0,11,0%,7.27
Kina,0,10,0%,5.2
Ungarn,0,10,0%,6.9
Jordan,0,10,0%,7.4
Kasakhstan,0,10,0%,10.2
Bosnia og Herzegovina,0,10,0%,10.8
Chile,0,9,0%,5.33
Estland,0,9,0%,6.67
Makedonia,0,9,0%,7.78
Færøyene,0,7,0%,3.71
Ecuador,0,7,0%,6.14
Tunis,0,7,0%,6.43
Etiopia,0,7,0%,9.71
Moldova,0,6,0%,6
Kapp Verde,0,6,0%,6.17
Nepal,0,6,0%,6.5
Latvia,0,5,0%,6
Usbekistan,0,5,0%,8
Venezuela,0,5,0%,8.2
Iran,0,5,0%,8.6
Sri Lanka,0,5,0%,9.6
Paraguay,0,5,0%,13.8
Nigeria,0,4,0%,5.25
Kuwait,0,4,0%,5.75
Costa Rica,0,4,0%,6
Panama,0,4,0%,6
Madagaskar,0,4,0%,6.75
Nicaragua,0,4,0%,7
Bolivia,0,4,0%,8
Jamaica,0,4,0%,8.5
Den dominikanske republikk,0,4,0%,20
Uganda,0,3,0%,3
Trinidad og Tobago,0,3,0%,4
Bahamas,0,3,0%,4.33
New Zealand,0,3,0%,4.67
Luxembourg,0,3,0%,5.33
Slovakia,0,3,0%,5.67
Andorra,0,3,0%,7
Barbados,0,3,0%,7.33
Palestina,0,3,0%,7.33
Uruguay,0,3,0%,7.67
Ghana,0,2,0%,1
Isle of Man,0,2,0%,3
Slovenia,0,2,0%,3
Qatar,0,2,0%,3.5
Montenegro,0,2,0%,4
Antigua og Barbuda,0,2,0%,5
Sør-Sudan,0,2,0%,5
Tanzania,0,2,0%,5
Maldivene,0,2,0%,6
Puerto Rico,0,2,0%,7
Elfenbenskysten,0,2,0%,7.5
Angola,0,2,0%,8.5
Gabon,0,2,0%,8.5
Syria,0,2,0%,9.5
Belarus,0,2,0%,10
Kambodsja,0,2,0%,10
Sint Maarten,0,1,0%,1
Zimbabwe,0,1,0%,1
Burkina Faso,0,1,0%,4
Guyana,0,1,0%,4
Zambia,0,1,0%,4
Ukjent Region,0,1,0%,4
Libanon,0,1,0%,5
Mauritania,0,1,0%,5
Armenia,0,1,0%,6
Benin,0,1,0%,7
Bahrain,0,1,0%,7
Mosambik,0,1,0%,7
Jemen,0,1,0%,7
Kirgisistan,0,1,0%,8
Libya,0,1,0%,8
Macau,0,1,0%,8
Mongolia,0,1,0%,8
Honduras,0,1,0%,9
Malta,0,1,0%,9
Myanmar (Burma),0,1,0%,9
Somalia,0,1,0%,9
Georgia,0,1,0%,10
Aruba,0,1,0%,11
Mauritius,0,1,0%,11
